original_name,detected_extension,matched_reference,normalized_reference,match_method,image_key,renamed_file,csv_path
7302.    #3,.jpg,7302,7302,prefixe-plus-long,7302,7302-007.jpg,backend/uploads/products/7302-007.jpg
7302.    #4,.jpg,7302,7302,prefixe-plus-long,7302,7302-008.jpg,backend/uploads/products/7302-008.jpg
7302.  #1,.png,7302,7302,prefixe-plus-long,7302,7302-009.png,backend/uploads/products/7302-009.png
7302.  #2,.png,7302,7302,prefixe-plus-long,7302,7302-010.png,backend/uploads/products/7302-010.png
7302.  #3,.png,7302,7302,prefixe-plus-long,7302,7302-011.png,backend/uploads/products/7302-011.png
7302.  #4,.png,7302,7302,prefixe-plus-long,7302,7302-012.png,backend/uploads/products/7302-012.png
7303_80x180.  #1,.png,7303,7303,prefixe-plus-long,730380x180,7303-001.png,backend/uploads/products/7303-001.png
7303_80x180.  #2,.png,7303,7303,prefixe-plus-long,730380x180,7303-002.png,backend/uploads/products/7303-002.png
7303_80x180.  #3,.png,7303,7303,prefixe-plus-long,730380x180,7303-003.png,backend/uploads/products/7303-003.png
7303_80x180.  #4,.png,7303,7303,prefixe-plus-long,730380x180,7303-004.png,backend/uploads/products/7303-004.png
7305.jpg,.jpg,7305,7305,prefixe-plus-long,7305,7305-001.jpg,backend/uploads/products/7305-001.jpg
7306.    #1,.png,7306,7306,prefixe-plus-long,7306,7306-001.png,backend/uploads/products/7306-001.png
7306.    #2,.png,7306,7306,prefixe-plus-long,7306,7306-002.png,backend/uploads/products/7306-002.png
7306.    #3,.jpg,7306,7306,prefixe-plus-long,7306,7306-003.jpg,backend/uploads/products/7306-003.jpg
7306.    #4,.png,7306,7306,prefixe-plus-long,7306,7306-004.png,backend/uploads/products/7306-004.png
7324_25.jpg,.jpg,7324/25,732425,prefixe-plus-long,732425,7324-25-001.jpg,backend/uploads/products/7324-25-001.jpg
7347.png,.png,7347,7347,prefixe-plus-long,7347,7347-001.png,backend/uploads/products/7347-001.png
7422_23_24.jpg,.jpg,7422/23/24,74222324,prefixe-plus-long,74222324,7422-23-24-001.jpg,backend/uploads/products/7422-23-24-001.jpg
7425_26.jpg,.jpg,7425,7425,prefixe-plus-long,742526,7425-001.jpg,backend/uploads/products/7425-001.jpg
7443_44_45.jpg,.jpg,7443/44,744344,prefixe-plus-long,74434445,7443-44-001.jpg,backend/uploads/products/7443-44-001.jpg
7450_51_52.jpg,.jpg,7450,7450,prefixe-plus-long,74505152,7450-001.jpg,backend/uploads/products/7450-001.jpg
7494.jpg,.jpg,7494,7494,prefixe-plus-long,7494,7494-001.jpg,backend/uploads/products/7494-001.jpg
7501.jpg,.jpg,7501,7501,prefixe-plus-long,7501,7501-001.jpg,backend/uploads/products/7501-001.jpg
