original_name,detected_extension,image_key,reason
D 9696_6 GD.  #3,.jpg,d96966gd,aucune
D 9696_6 GD.  #4,.jpg,d96966gd,aucune
D 9710_3.    #1,.jpg,d97103,aucune
D 9710_3.    #2,.jpg,d97103,aucune
D 9710_3.    #3,.jpg,d97103,aucune
D 9710_3.    #4,.jpg,d97103,aucune
D 9795_10.   #1,.jpg,d979510,aucune
D 9795_10.   #2,.png,d979510,aucune
D 9795_10.   #3,.jpg,d979510,aucune
D 9795_10.   #4,.jpg,d979510,aucune
D 9901.    #1,.jpg,d9901,aucune
D 9901.    #2,.jpg,d9901,aucune
D 9901.    #3,.jpg,d9901,aucune
D 9901.    #4,.jpg,d9901,aucune
d 9901.   #1,.png,d9901,aucune
d 9901.   #2,.jpg,d9901,aucune
d 9901.   #3,.jpg,d9901,aucune
d 9901.   #4,.jpg,d9901,aucune
d006. #1,.png,d006,aucune
d006. #2,.png,d006,aucune
d006. #3,.jpg,d006,aucune
d006. #4,.jpg,d006,aucune
D9688.  #1,.jpg,d9688,aucune
D9688.  #2,.jpg,d9688,aucune
D9688.  #3,.jpg,d9688,aucune
D9688.  #4,.jpg,d9688,aucune
Flower 1 ( red).jpg,.jpg,flower1red,aucune
Flower 1 (green).jpg,.jpg,flower1green,aucune
Flower 1 (light blue).jpg,.jpg,flower1lightblue,aucune
flower 1 (transparent).jpg,.jpg,flower1transparent,aucune
flower 1 (white).jpg,.jpg,flower1white,aucune
flower 1.  (Blue).jpg,.jpg,flower1blue,aucune
flower 1. (Purple).jpg,.jpg,flower1purple,aucune
flower 1.(yellow).jpg,.jpg,flower1yellow,aucune
flower 2 (blue).jpg,.jpg,flower2blue,aucune
flower 2 (light blue ).jpg,.jpg,flower2lightblue,aucune
flower 2 (purple).jpg,.jpg,flower2purple,aucune
flower 2 (red).jpg,.jpg,flower2red,aucune
flower 2 (transparent ).jpg,.jpg,flower2transparent,aucune
flower 2 (yellow).jpg,.jpg,flower2yellow,aucune
flower 2.  (Green).jpg,.jpg,flower2green,aucune
Flower 3 ( red).jpg,.jpg,flower3red,aucune
Flower 3 (green).jpg,.jpg,flower3green,aucune
Flower 3 (light blue).jpg,.jpg,flower3lightblue,aucune
Flower 3 (purple)(1).jpg,.jpg,flower3purple1,aucune
Flower 3 (purple).jpg,.jpg,flower3purple,aucune
Flower 3 (transparent)_.jpg,.jpg,flower3transparent,aucune
flower 3 (yellow).jpg,.jpg,flower3yellow,aucune
flower 3.  (White).jpg,.jpg,flower3white,aucune
Flower 3. (Blue).jpg,.jpg,flower3blue,aucune
H 2017-1.png,.png,h20171,aucune
H 784.png,.png,h784,aucune
h788-1.png,.png,h7881,aucune
HX 410.png,.png,hx410,aucune
id 15.png,.png,id15,aucune
ID 21.png,.png,id21,aucune
ID-17.png,.png,id17,aucune
ID-18.png,.png,id18,aucune
IMG_2412.PNG,.jpg,img2412,aucune
JS 094_.png,.png,js094,aucune
JS 095_.png,.png,js095,aucune
js 28 A.png,.png,js28a,aucune
js 32 B.png,.png,js32b,aucune
kd 022.jpg,.jpg,kd022,aucune
kd 159.png,.png,kd159,aucune
kd 160.png,.png,kd160,aucune
kd 247.png,.png,kd247,aucune
L 002_6. #1,.png,l0026,aucune
L 002_6. #2,.jpg,l0026,aucune
L 002_6. #3,.jpg,l0026,aucune
L 002_6. #4,.jpg,l0026,aucune
L 2258_grey.   #1,.jpg,l2258grey,aucune
L 2258_grey.   #2,.png,l2258grey,aucune
L 2258_grey.   #3,.jpg,l2258grey,aucune
L 2258_grey.   #4,.jpg,l2258grey,aucune
L007_12.  #1,.png,l00712,aucune
L007_12.  #2,.jpg,l00712,aucune
L007_12.  #3,.jpg,l00712,aucune
L007_12.  #4,.jpg,l00712,aucune
L2258_white.    #1,.jpg,l2258white,aucune
L2258_white.    #2,.jpg,l2258white,aucune
L2258_white.    #3,.jpg,l2258white,aucune
L2258_white.    #4,.jpg,l2258white,aucune
LO19_6.  #1,.png,lo196,aucune
LO19_6.  #2,.png,lo196,aucune
LO19_6.  #3,.png,lo196,aucune
LO19_6.  #4,.png,lo196,aucune
LO21_5.  #1,.png,lo215,aucune
LO21_5.  #2,.png,lo215,aucune
LO21_5.  #3,.png,lo215,aucune
LO21_5.  #4,.png,lo215,aucune
LO28_6.  #1,.png,lo286,aucune
LO28_6.  #2,.jpg,lo286,aucune
LO28_6.  #3,.jpg,lo286,aucune
LO28_6.  #4,.jpg,lo286,aucune
Lustre 5969 #1.png,.png,lustre5969,aucune
Lustre 5969 #2.png,.png,lustre5969,aucune
Lustre 5969 #3.png,.png,lustre5969,aucune
Lustre 5969 #4.png,.png,lustre5969,aucune
MX 25-16 A.  #1,.jpg,mx2516a,aucune
MX 25-16 A.  #2,.jpg,mx2516a,aucune
MX 25-16 A.  #3,.jpg,mx2516a,aucune
MX 25-16 A.  #4,.jpg,mx2516a,aucune
MX 25-16.   #1,.jpg,mx2516,aucune
